hk_geb;uk_geb;typ_18599;nr_18599;typ_sia2024;nr_sia2024;typ_mza;nr_mza;gain_per_person_18599;gain_per_person_sia2024;gain_per_person_mza;appliance_gains_tief_18599;appliance_gains_mittel_18599;appliance_gains_hoch_18599;appliance_gains_ziel_sia2024;appliance_gains_standard_sia2024;appliance_gains_bestand_sia2024;appliance_gains_tief_mza;appliance_gains_mittel_mza;appliance_gains_hoch_mza;usage_start_18599;usage_end_18599;usage_start_sia2024;usage_end_sia2024;usage_start_mza;usage_end_mza
Büro-, Verwaltungs- oder Amtsgebäude;Parlaments- oder Gerichtsgebäude;Gruppenbüro (2 bis 6 Arbeitsplätze);2.0;Einzel-, Gruppenbüro;3.1;Parlaments- oder Gerichtsgebäude;2;70;70;22.22264790980744;2.8;7.1;15.0;3.0;7;15.0;32.67289234760051;32.67289234760051;32.67289234760051;7;18;7;18;6.9871495560211505;18.048927466826296
Büro-, Verwaltungs- oder Amtsgebäude;Öffentliches Verwaltungs- oder Ämtergebäude, Rathaus;Gruppenbüro (2 bis 6 Arbeitsplätze);2.0;Einzel-, Gruppenbüro;3.1;Öffentliches Verwaltungs- oder Ämtergebäude, Rathaus;3;70;70;28.508190535884545;2.8;7.1;15.0;3.0;7;15.0;38.197156539659595;38.197156539659595;38.197156539659595;7;18;7;18;7.059232185973092;18.165505538220042
Büro-, Verwaltungs- oder Amtsgebäude;Bürogebäude;Gruppenbüro (2 bis 6 Arbeitsplätze);2.0;Einzel-, Gruppenbüro;3.1;Bürogebäude;4;70;70;32.92560152224406;2.8;7.1;15.0;3.0;7;15.0;66.12012333939234;66.12012333939234;66.12012333939234;7;18;7;18;6.821891837150124;18.28071156553103
Büro-, Verwaltungs- oder Amtsgebäude;Rundfunk- oder Fernsehanstalt;Gruppenbüro (2 bis 6 Arbeitsplätze);2.0;Einzel-, Gruppenbüro;3.1;Rundfunk- oder Fernsehanstalt;5;70;70;32.92560152224406;2.8;7.1;15.0;3.0;7;15.0;66.12012333939234;66.12012333939234;66.12012333939234;7;18;7;18;6.821891837150124;18.28071156553103
Büro-, Verwaltungs- oder Amtsgebäude;Polizeipräsidium oder -station, Bürogebäude sonstiger Bereitschaftsdienste;Großraumbüro (ab 7 Arbeitsplätze);3.0;Großraumbüro;3.2;Polizeipräsidium oder -station, Bürogebäude sonstiger Bereitschaftsdienste;6;70;70;30.754063561692025;4.2;10.0;18.8;4.0;10;19.0;42.886379666445244;42.886379666445244;42.886379666445244;7;18;7;18;6.52924656529599;18.35277781653627
Gebäude für Forschung und Hochschullehre;Hörsaalgebäude;Hörsaal, Auditorium;9.0;Hörsaal;4.4;Hörsaalgebäude;8;70;70;93.15745180624982;2.0;4.0;6.0;2.0;4;6.0;17.581380475969695;17.581380475969695;17.581380475969695;8;18;7;18;7.167727255448192;18.02778503438599
Gebäude für Forschung und Hochschullehre;Verwaltungs- oder Seminargebäude;Gruppenbüro (2 bis 6 Arbeitsplätze);2.0;Großraumbüro;3.2;Verwaltungs- oder Seminargebäude;9;70;70;47.56116568569144;2.8;7.1;15.0;4.0;10;19.0;44.65433440659543;44.65433440659543;44.65433440659543;7;18;7;18;7.086483049978468;18.026455568999815
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit geringen Anforderungen an die Raumlufttechnik, z.B. Medizin, Informatik);Labor;36.0;Laborraum;9.3;Institutsgebäude für Forschung und Lehre (Labor mit geringen Anforderungen an die Raumlufttechnik, z.B. Medizin, Informatik);10;90;70;61.793723338476994;6.0;18.0;63.0;15.0;20;25.0;37.60977507089571;37.60977507089571;37.60977507089571;7;18;7;18;7.113391188955541;18.015316747262244
Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit hohen Anforderungen an die Raumlufttechnik, z.B. Chemie, Tierforschung);Labor;36.0;Laborraum;9.3;Institutsgebäude für Forschung und Lehre (Labor mit hohen Anforderungen an die Raumlufttechnik, z.B. Chemie, Tierforschung);11;90;70;25.695407741753478;6.0;18.0;63.0;15.0;20;25.0;48.604590243214375;48.604590243214375;48.604590243214375;7;18;7;18;6.998770830394744;17.925242307614806
Gebäude für Forschung und Hochschullehre;Bürogebäude von Forschungsanstalten ohne Lehre;Gruppenbüro (2 bis 6 Arbeitsplätze);2.0;Einzel-, Gruppenbüro;3.1;Bürogebäude von Forschungsanstalten ohne Lehre;12;70;70;32.65484088832386;2.8;7.1;15.0;3.0;7;15.0;50.52067855865877;50.52067855865877;50.52067855865877;7;18;7;18;6.789559413610902;18.20285248897541
